id;titlu;autor;gen;tip;numar_pagini_totale;status;imagine;procent;dataStart;dataFinish;scor;review
129;Twisted Games;Ana Huang;;PAPERBACK;0;FINALIZATA;null;1.0;2023-09-03;2023-09-03;3.0;smut
130;The Secret Keeper;Kate Morton;;PAPERBACK;588;FINALIZATA;null;1.0;2023-09-17;2023-10-12;5.0;dirty secrets
131;All the bright places;Jennifer Niven;;PAPERBACK;378;FINALIZATA;null;1.0;2023-10-08;2023-10-12;4.0;sunicide
132;Aleea cu licuriri;Kristin Hannah;;PAPERBACK;0;FINALIZATA;null;1.0;2023-10-08;2023-10-12;3.0;bff
133;O viata marunta;Hanya Yanagihara;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
134;Inceputuri fara sfarsit;Rebecca Yarros;;PAPERBACK;512;FINALIZATA;null;1.0;2024-02-06;2024-02-13;2.0;disgusting romance
135;Elisabeth is missing;Emma Healey;;PAPERBACK;0;FINALIZATA;null;1.0;2024-02-06;2024-02-13;3.0;
136;Ceva in apa;Catherine Steadman;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
137;Twisted Hate;Ana Huang;;PAPERBACK;452;FINALIZATA;null;1.0;2024-01-24;2024-01-27;4.0;smut
138;Persuasion;Jane Austen;;PAPERBACK;195;FINALIZATA;null;1.0;2024-01-07;2024-01-17;4.0;romance
139;Iarna vrajitoare;Katherine Arden;fantasy;PAPERBACK;0;FINALIZATA;null;1.0;2024-01-07;2024-01-17;4.0;
140;Six of Crows;Leigh Bardugo;;PAPERBACK;479;FINALIZATA;null;1.0;2024-03-06;2024-04-08;5.0;hoti
141;The Crooked Kingdom;Leigh Bardugo;;PAPERBACK;0;FINALIZATA;null;1.0;2024-03-06;2024-04-08;5.0;hoti
142;The Cruel Prince;Holly Black;;PAPERBACK;343;FINALIZATA;null;1.0;2024-07-13;2024-07-16;5.0;
143;The Wricked King;Holly Black;;PAPERBACK;0;FINALIZATA;null;1.0;2024-07-13;2024-07-16;5.0;
144;The Queen of Nothing;Holly Black;;PAPERBACK;279;FINALIZATA;null;1.0;2024-08-31;2024-08-31;4.0;
145;Scandalized;Ivy Owens;;PAPERBACK;320;FINALIZATA;null;1.0;2024-07-24;2024-07-24;4.0;smut
146;Casa Focului si a Umbrei;Sarah J. Maas;fantasy;PAPERBACK;960;FINALIZATA;null;1.0;2024-07-20;2024-07-30;4.0;
147;Cinder;Marissa Mayer;fiction;PAPERBACK;400;FINALIZATA;null;1.0;2024-08-04;2024-08-09;5.0;
148;Scarlet;Marissa Mayer;fiction;PAPERBACK;463;FINALIZATA;null;1.0;2024-08-15;2024-08-18;5.0;
149;Cress;Marissa Mayer;fiction;PAPERBACK;552;FINALIZATA;null;1.0;2024-08-18;2024-08-27;4.0;
150;Winter;Marissa Mayer;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
151;Stars Above;Marissa Mayer;;PAPERBACK;400;FINALIZATA;null;1.0;2025-01-06;2025-01-16;4.0;
152;Fairest;Marissa Mayer;romance;PAPERBACK;222;FINALIZATA;null;1.0;2025-01-18;2025-02-21;4.0;
153;Rezistenta;Jennifer A. Nielsen;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
154;The House of the Dead & The Gambler;F. Dostoevsky;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
155;Crime and Punishment;F. Dostoevsky;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
156;Pride and Prejudice;Jane Austen;;PAPERBACK;345;IN_CURS_DE_CITIRE;null;0.0;2025-01-18;2025-02-21;0.0;
157;Bucuria Vietii;Irving Stone;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
158;Niveluri de viata;Julian Barnes;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
159;The Reappearance of Rachel Price;Holly Jackson;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
